status,id,logged_at,tradingsymbol,ltp,pnl_amount,pnl_pct,charges,net_pnl,net_pnl_pct,trade_type,setup_type,signal_type,quantity,rec_entry,actual_entry,rec_stop,rec_t1,actual_exit,rr_realised,slippage_entry_pct,kite_order_id,kite_status,notes
OPEN,38,2026-05-08T12:36:30.417,IIFLCAPS,361.85,848.6400000000085,0.5669658986687475,100.55,748.0900000000086,0.4997896860095022,📄 Paper,INTRADAY,BUY_ABOVE,416,359.81,359.81,358.37,363.1,,,0,,,"📄 Paper — auto TRIGGERED (₹150,000)"
OPEN,29,2026-05-08T12:24:56.439,CGPOWER,862.7,-368.4899999999992,-0.2462911786131373,100.18,-468.6699999999992,-0.31324944145192307,📄 Paper,INTRADAY,BUY_ABOVE,173,864.83,864.83,861.38,870.03,,,0,,,"📄 Paper — auto TRIGGERED (₹150,000)"
OPEN,28,2026-05-08T12:20:36.781,INFOBEAN,170.96,271.250000000002,0.18100075903544244,100.29,170.96000000000197,0.11407885627538938,📄 Paper,INTRADAY,SELL_BELOW,875,171.27,171.27,171.95,169.95,,,0,,,"📄 Paper — auto TRIGGERED (₹150,000)"
OPEN,20,2026-05-08T11:30:40.354,ARVINDFASN,460,739.019999999997,0.4937300651024579,100.52,638.499999999997,0.42657390404578927,📄 Paper,INTRADAY,BUY_ABOVE,327,457.74,457.74,455.91,463.07,,,0,,,"📄 Paper trade — auto at TRIGGERED (₹150,000 virtual capital)"
OPEN,6,2026-05-08T10:56:43.707,SPLPETRO,734.05,631.3300000000028,0.4218894134244959,100.11,531.2200000000028,0.35499040786808944,📄 Paper,INTRADAY,SELL_BELOW,203,737.16,737.16,740.11,727.1,,,0,,,"📄 Paper trade — auto at TRIGGERED (₹150,000 virtual capital)"
TARGET_HIT,37,2026-05-08T12:36:24.911,ADFFOODS,273.55,1035.9800000000025,0.6916959496948417,100.64,935.3400000000025,0.6245013316739447,📄 Paper,INTRADAY,BUY_ABOVE,554,270.35,270.35,269.27,272.22,272.22,1.7314814814814201,0,,,"📄 Paper — auto TRIGGERED (₹150,000)
📄 Paper trade auto-closed at T1"
TARGET_HIT,36,2026-05-08T12:36:20.534,SJS,2015.5,1017.7500000000123,0.6797371215612497,100.62,917.1300000000123,0.612534813360324,📄 Paper,INTRADAY,BUY_ABOVE,75,1996.36,1996.36,1988.39,2009.93,2009.93,1.7026348808030747,0,,,"📄 Paper — auto TRIGGERED (₹150,000)
📄 Paper trade auto-closed at T1"
STOPPED_OUT,35,2026-05-08T12:33:49.061,TFCILTD,83.16,-624.3999999999899,-0.416270218839194,100.24,-724.6399999999899,-0.4830974557649491,📄 Paper,INTRADAY,BUY_ABOVE,1784,84.08,84.08,83.75,85.09,83.73,-1.0606060606060488,0,,,"📄 Paper — auto TRIGGERED (₹150,000)
📄 Paper trade auto-stopped"
TARGET_HIT,34,2026-05-08T12:33:43.020,ADSL,142.6,1288.0000000000064,0.8587857516242294,100.78,1187.2200000000064,0.7915897671143776,📄 Paper,INTRADAY,BUY_ABOVE,1120,133.91,133.91,133.38,135.06,135.06,2.169811320754723,0,,,"📄 Paper — auto TRIGGERED (₹150,000)
📄 Paper trade auto-closed at T1"
TARGET_HIT,33,2026-05-08T12:33:38.512,HEMIPROP,155.36,2013.1000000000113,1.3430293501048294,100.96,1912.1400000000112,1.2756744034123737,📄 Paper,INTRADAY,BUY_ABOVE,982,152.64,152.64,152.03,154.69,154.69,3.360655737705018,0,,,"📄 Paper — auto TRIGGERED (₹150,000)
📄 Paper trade auto-closed at T1"
TARGET_HIT,32,2026-05-08T12:33:30.492,SHRIRAMPPS,97.56,1914.2200000000125,1.2763713080168861,100.96,1813.2600000000125,1.2090527932916275,📄 Paper,INTRADAY,BUY_ABOVE,1582,94.8,94.8,94.43,96.01,96.01,3.270270270270377,0,,,"📄 Paper — auto TRIGGERED (₹150,000)
📄 Paper trade auto-closed at T1"
TARGET_HIT,31,2026-05-08T12:33:20.347,DCBBANK,176.98,1127.4400000000114,0.7519628441888829,100.07,1027.3700000000115,0.6852196722081294,📄 Paper,INTRADAY,SELL_BELOW,829,180.86,180.86,181.58,179.5,179.5,1.8888888888889108,0,,,"📄 Paper — auto TRIGGERED (₹150,000)
📄 Paper trade auto-closed at T1"
TARGET_HIT,30,2026-05-08T12:33:17.231,IPL,182.98,1228.7800000000032,0.8197724213874975,100.74,1128.0400000000031,0.7525643990152451,📄 Paper,INTRADAY,BUY_ABOVE,917,163.46,163.46,162.81,164.8,164.8,2.061538461538449,0,,,"📄 Paper — auto TRIGGERED (₹150,000)
📄 Paper trade auto-closed at T1"
TARGET_HIT,27,2026-05-08T12:20:11.885,THERMAX,4694.1,2638.720000000001,1.7911796458043263,100.23,2538.490000000001,1.7231428946905412,📄 Paper,INTRADAY,BUY_ABOVE,32,4603.67,4603.67,4585.27,4686.13,4686.13,4.4815217391305255,0,,,"📄 Paper — auto TRIGGERED (₹150,000)
📄 Paper trade auto-closed at T1"
TARGET_HIT,26,2026-05-08T12:19:46.538,BHARATSE,206.85,2083.3500000000167,1.3903795492243256,100.96,1982.3900000000167,1.3230011829922057,📄 Paper,INTRADAY,BUY_ABOVE,731,204.98,204.98,204.17,207.83,207.83,3.518518518518537,0,,,"📄 Paper — auto TRIGGERED (₹150,000)
📄 Paper trade auto-closed at T1"
STOPPED_OUT,25,2026-05-08T12:16:53.921,BALAJITELE,121.94,-1145.8599999999972,-0.7642276422764209,100.07,-1245.929999999997,-0.8309690069829309,📄 Paper,INTRADAY,BUY_ABOVE,1219,123,123,122.51,125.18,122.06,-1.918367346938791,0,,,"📄 Paper — auto TRIGGERED (₹150,000)
📄 Paper trade auto-stopped"
STOPPED_OUT,24,2026-05-08T11:59:06.419,SOUTHWEST,218.22,-1691.2800000000047,-1.1290772233063873,100.83,-1792.1100000000047,-1.1963900611723721,📄 Paper,INTRADAY,SELL_BELOW,696,215.22,215.22,216.09,213.28,217.65,-2.7931034482758554,0,,,"📄 Paper — auto TRIGGERED (₹150,000)
📄 Paper trade auto-stopped"
TARGET_HIT,23,2026-05-08T11:58:40.123,WONDERLA,505,1463.729999999992,0.9790563687324769,99.83,1363.8999999999921,0.9122823070608818,📄 Paper,INTRADAY,SELL_BELOW,291,513.76,513.76,515.81,508.73,508.73,2.453658536585407,0,,,"📄 Paper — auto TRIGGERED (₹150,000)
📄 Paper trade auto-closed at T1"
STOPPED_OUT,22,2026-05-08T11:52:07.404,GOPAL,335.65,-736.759999999998,-0.4912153813699772,100.21,-836.969999999998,-0.558027767176869,📄 Paper,INTRADAY,BUY_ABOVE,452,331.83,331.83,330.51,335.05,330.2,-1.2348484848484877,0,,,"📄 Paper — auto TRIGGERED (₹150,000)
📄 Paper trade auto-stopped"
STOPPED_OUT,21,2026-05-08T11:38:32.944,HARSHA,440,-617.9000000000076,-0.412210338680932,100.21,-718.1100000000076,-0.47906192961670746,📄 Paper,INTRADAY,BUY_ABOVE,334,448.8,448.8,447,458.3,446.95,-1.027777777777784,0,,,"📄 Paper trade — auto at TRIGGERED (₹150,000 virtual capital)
📄 Paper trade auto-stopped"
TARGET_HIT,19,2026-05-08T11:30:35.721,NRBBEARING,324.65,2161.7600000000193,1.4424288233812173,101,2060.7600000000193,1.3750368320586368,📄 Paper,INTRADAY,BUY_ABOVE,472,317.52,317.52,316.25,322.1,322.1,3.606299212598509,0,,,"📄 Paper trade — auto at TRIGGERED (₹150,000 virtual capital)
📄 Paper trade auto-closed at T1"
STOPPED_OUT,18,2026-05-08T11:27:55.690,MOSCHIP,231.4,-794.5799999999933,-0.5301038658794077,100.15,-894.7299999999933,-0.5969189155507096,📄 Paper,INTRADAY,BUY_ABOVE,646,232.03,232.03,231.1,235.6,230.8,-1.3225806451612696,0,,,"📄 Paper trade — auto at TRIGGERED (₹150,000 virtual capital)
📄 Paper trade auto-stopped"
TARGET_HIT,17,2026-05-08T11:27:50.521,IIFLCAPS,361.85,1368.6400000000085,0.9143714738334178,100.7,1267.9400000000085,0.8470950480274902,📄 Paper,INTRADAY,BUY_ABOVE,416,359.81,359.81,358.37,363.1,363.1,2.28472222222224,0,,,"📄 Paper trade — auto at TRIGGERED (₹150,000 virtual capital)
📄 Paper trade auto-closed at T1"
STOPPED_OUT,16,2026-05-08T11:27:04.215,PARAS,874.55,-654.5000000000039,-0.4377487208641299,100.06,-754.5600000000038,-0.5046717720630063,📄 Paper,INTRADAY,BUY_ABOVE,170,879.5,879.5,875.98,890.68,875.65,-1.0937500000000122,0,,,"📄 Paper trade — auto at TRIGGERED (₹150,000 virtual capital)
📄 Paper trade auto-stopped"
STOPPED_OUT,15,2026-05-08T11:23:06.392,LENSKART,490.5,-660.4300000000043,-0.4412472029946284,100.5,-760.9300000000043,-0.5083933712500982,📄 Paper,INTRADAY,SELL_BELOW,313,478.19,478.19,480.11,463.38,480.3,-1.0989583333333313,0,,,"📄 Paper trade — auto at TRIGGERED (₹150,000 virtual capital)
📄 Paper trade auto-stopped"
STOPPED_OUT,14,2026-05-08T11:19:04.530,ATHERENERG,921.55,-946.6799999999993,-0.6342494714587732,99.89,-1046.5699999999993,-0.701173014476495,📄 Paper,INTRADAY,BUY_ABOVE,161,927.08,927.08,923.37,935.8,921.2,-1.5849056603773417,0,,,"📄 Paper trade — auto at TRIGGERED (₹150,000 virtual capital)
📄 Paper trade auto-stopped"
TARGET_HIT,13,2026-05-08T11:19:00.389,ADFFOODS,273.55,1035.9800000000025,0.6916959496948417,100.64,935.3400000000025,0.6245013316739447,📄 Paper,INTRADAY,BUY_ABOVE,554,270.35,270.35,269.27,272.22,272.22,1.7314814814814201,0,,,"📄 Paper trade — auto at TRIGGERED (₹150,000 virtual capital)
📄 Paper trade auto-closed at T1"
TARGET_HIT,12,2026-05-08T11:18:34.038,IPL,182.98,1228.7800000000032,0.8197724213874975,100.74,1128.0400000000031,0.7525643990152451,📄 Paper,INTRADAY,BUY_ABOVE,917,163.46,163.46,162.81,164.8,164.8,2.061538461538449,0,,,"📄 Paper trade — auto at TRIGGERED (₹150,000 virtual capital)
📄 Paper trade auto-closed at T1"
STOPPED_OUT,11,2026-05-08T11:08:57.672,COROMANDEL,1928.9,-815.0999999999858,-0.5452221323663589,100.48,-915.5799999999858,-0.612433419153468,📄 Paper,INTRADAY,SELL_BELOW,78,1916.65,1916.65,1924.33,1900.13,1927.1,-1.3606770833333386,0,,,"📄 Paper trade — auto at TRIGGERED (₹150,000 virtual capital)
📄 Paper trade auto-stopped"
TARGET_HIT,10,2026-05-08T11:03:32.951,SJS,2015.5,1017.7500000000123,0.6797371215612497,100.62,917.1300000000123,0.612534813360324,📄 Paper,INTRADAY,BUY_ABOVE,75,1996.36,1996.36,1988.39,2009.93,2009.93,1.7026348808030747,0,,,"📄 Paper trade — auto at TRIGGERED (₹150,000 virtual capital)
📄 Paper trade auto-closed at T1"
TARGET_HIT,9,2026-05-08T11:03:28.907,ADSL,142.6,1288.0000000000064,0.8587857516242294,100.78,1187.2200000000064,0.7915897671143776,📄 Paper,INTRADAY,BUY_ABOVE,1120,133.91,133.91,133.38,135.06,135.06,2.169811320754723,0,,,"📄 Paper trade — auto at TRIGGERED (₹150,000 virtual capital)
📄 Paper trade auto-closed at T1"
TARGET_HIT,8,2026-05-08T11:03:24.708,HEMIPROP,155.36,2013.1000000000113,1.3430293501048294,100.96,1912.1400000000112,1.2756744034123737,📄 Paper,INTRADAY,BUY_ABOVE,982,152.64,152.64,152.03,154.69,154.69,3.360655737705018,0,,,"📄 Paper trade — auto at TRIGGERED (₹150,000 virtual capital)
📄 Paper trade auto-closed at T1"
TARGET_HIT,7,2026-05-08T10:56:43.755,WONDERLA,505,1463.729999999992,0.9790563687324769,99.83,1363.8999999999921,0.9122823070608818,📄 Paper,INTRADAY,SELL_BELOW,291,513.76,513.76,515.81,508.73,508.73,2.453658536585407,0,,,"📄 Paper trade — auto at TRIGGERED (₹150,000 virtual capital)
📄 Paper short auto-closed at T1 target"
TARGET_HIT,5,2026-05-08T10:56:43.651,SOUTHWEST,218.22,1350.2399999999984,0.9014032153145607,99.96,1250.2799999999984,0.8346711784893716,📄 Paper,INTRADAY,SELL_BELOW,696,215.22,215.22,216.09,213.28,213.28,2.2298850574712503,0,,,"📄 Paper trade — auto at TRIGGERED (₹150,000 virtual capital)
📄 Paper short auto-closed at T1 target"
STOPPED_OUT,4,2026-05-08T10:56:42.689,SHRIRAMPPS,97.56,-648.6199999999947,-0.4324894514767897,100.23,-748.8499999999947,-0.49932121386697037,📄 Paper,INTRADAY,BUY_ABOVE,1582,94.8,94.8,94.43,96.01,94.39,-1.1081081081081279,0,,,"📄 Paper trade — auto at TRIGGERED (₹150,000 virtual capital)
📄 Paper trade auto-stopped"
STOPPED_OUT,3,2026-05-08T10:56:42.633,CGPOWER,862.7,-688.5400000000031,-0.4602060520564756,100.09,-788.6300000000032,-0.5271041607361928,📄 Paper,INTRADAY,BUY_ABOVE,173,864.83,864.83,861.38,870.03,860.85,-1.1536231884057873,0,,,"📄 Paper trade — auto at TRIGGERED (₹150,000 virtual capital)
📄 Paper trade auto-stopped"
STOPPED_OUT,2,2026-05-08T10:56:42.578,BHARATFORG,2001.9,-625.6099999999954,-0.42039272627380647,99.82,-725.4299999999953,-0.4874690229069352,📄 Paper,INTRADAY,BUY_ABOVE,73,2038.57,2038.57,2030.42,2051.27,2030,-1.051533742331298,0,,,"📄 Paper trade — auto at TRIGGERED (₹150,000 virtual capital)
📄 Paper trade auto-stopped"
TARGET_HIT,1,2026-05-08T10:56:42.539,THERMAX,4694.1,2638.720000000001,1.7911796458043263,100.23,2538.490000000001,1.7231428946905412,📄 Paper,INTRADAY,BUY_ABOVE,32,4603.67,4603.67,4585.27,4686.13,4686.13,4.4815217391305255,0,,,"📄 Paper trade — auto at TRIGGERED (₹150,000 virtual capital)
📄 Paper trade auto-closed at T1"
